Player,Team,Opponent,Position,Line,Proj Goals,Proj Assists,Proj SOG,Proj Blocks,DK Points
Vincent Trocheck,NYR,VGK,F,NA,0.0,0.0,0.0,0.0,0.0
Mika Zibanejad,NYR,VGK,F,NA,0.0,0.0,0.0,0.0,0.0
J.T. Miller,NYR,VGK,F,NA,0.0,0.0,0.0,0.0,0.0
Carson Soucy,NYR,VGK,F,NA,0.0,0.0,0.0,0.0,0.0
Jonny Brodzinski,NYR,VGK,F,NA,0.0,0.0,0.0,0.0,0.0
Conor Sheary,NYR,VGK,F,NA,0.0,0.0,0.0,0.0,0.0
Artemi Panarin,NYR,VGK,F,NA,0.0,0.0,0.0,0.0,0.0
Will Borgen,NYR,VGK,F,NA,0.0,0.0,0.0,0.0,0.0
Vladislav Gavrikov,NYR,VGK,F,NA,0.0,0.0,0.0,0.0,0.0
Adam Fox,NYR,VGK,F,NA,0.0,0.0,0.0,0.0,0.0
Taylor Raddysh,NYR,VGK,F,NA,0.0,0.0,0.0,0.0,0.0
Urho Vaakanainen,NYR,VGK,F,NA,0.0,0.0,0.0,0.0,0.0
Matthew Robertson,NYR,VGK,F,NA,0.0,0.0,0.0,0.0,0.0
Juuso Parssinen,NYR,VGK,F,NA,0.0,0.0,0.0,0.0,0.0
Adam Edstrom,NYR,VGK,F,NA,0.0,0.0,0.0,0.0,0.0
Braden Schneider,NYR,VGK,F,NA,0.0,0.0,0.0,0.0,0.0
Alexis Lafrenière,NYR,VGK,F,NA,0.0,0.0,0.0,0.0,0.0
Brett Berard,NYR,VGK,F,NA,0.0,0.0,0.0,0.0,0.0
Will Cuylle,NYR,VGK,F,NA,0.0,0.0,0.0,0.0,0.0
Matt Rempe,NYR,VGK,F,NA,0.0,0.0,0.0,0.0,0.0
Scott Morrow,NYR,VGK,F,NA,0.0,0.0,0.0,0.0,0.0
Brennan Othmann,NYR,VGK,F,NA,0.0,0.0,0.0,0.0,0.0
Jaroslav Chmelar,NYR,VGK,F,NA,0.0,0.0,0.0,0.0,0.0
Noah Laba,NYR,VGK,F,NA,0.0,0.0,0.0,0.0,0.0
Gabe Perreault,NYR,VGK,F,NA,0.0,0.0,0.0,0.0,0.0
Brayden McNabb,VGK,NYR,F,NA,0.0,0.0,0.0,0.0,0.0
Reilly Smith,VGK,NYR,F,NA,0.0,0.0,0.0,0.0,0.0
Mark Stone,VGK,NYR,F,NA,0.0,0.0,0.0,0.0,0.0
Brandon Saad,VGK,NYR,F,NA,0.0,0.0,0.0,0.0,0.0
William Karlsson,VGK,NYR,F,NA,0.0,0.0,0.0,0.0,0.0
Tomas Hertl,VGK,NYR,F,NA,0.0,0.0,0.0,0.0,0.0
Colton Sissons,VGK,NYR,F,NA,0.0,0.0,0.0,0.0,0.0
Ben Hutton,VGK,NYR,F,NA,0.0,0.0,0.0,0.0,0.0
Shea Theodore,VGK,NYR,F,NA,0.0,0.0,0.0,0.0,0.0
Ivan Barbashev,VGK,NYR,F,NA,0.0,0.0,0.0,0.0,0.0
Noah Hanifin,VGK,NYR,F,NA,0.0,0.0,0.0,0.0,0.0
Jack Eichel,VGK,NYR,F,NA,0.0,0.0,0.0,0.0,0.0
Keegan Kolesar,VGK,NYR,F,NA,0.0,0.0,0.0,0.0,0.0
Jeremy Lauzon,VGK,NYR,F,NA,0.0,0.0,0.0,0.0,0.0
Mitch Marner,VGK,NYR,F,NA,0.0,0.0,0.0,0.0,0.0
Brett Howden,VGK,NYR,F,NA,0.0,0.0,0.0,0.0,0.0
Zach Whitecloud,VGK,NYR,F,NA,0.0,0.0,0.0,0.0,0.0
Cole Reinhardt,VGK,NYR,F,NA,0.0,0.0,0.0,0.0,0.0
Kaedan Korczak,VGK,NYR,F,NA,0.0,0.0,0.0,0.0,0.0
Pavel Dorofeyev,VGK,NYR,F,NA,0.0,0.0,0.0,0.0,0.0
Alexander Holtz,VGK,NYR,F,NA,0.0,0.0,0.0,0.0,0.0
Braeden Bowman,VGK,NYR,F,NA,0.0,0.0,0.0,0.0,0.0
Alex Ovechkin,WSH,CBJ,F,NA,0.0,0.0,0.0,0.0,0.0
John Carlson,WSH,CBJ,F,NA,0.0,0.0,0.0,0.0,0.0
Nic Dowd,WSH,CBJ,F,NA,0.0,0.0,0.0,0.0,0.0
Dylan McIlrath,WSH,CBJ,F,NA,0.0,0.0,0.0,0.0,0.0
Tom Wilson,WSH,CBJ,F,NA,0.0,0.0,0.0,0.0,0.0
Trevor van Riemsdyk,WSH,CBJ,F,NA,0.0,0.0,0.0,0.0,0.0
Sonny Milano,WSH,CBJ,F,NA,0.0,0.0,0.0,0.0,0.0
Dylan Strome,WSH,CBJ,F,NA,0.0,0.0,0.0,0.0,0.0
Anthony Beauvillier,WSH,CBJ,F,NA,0.0,0.0,0.0,0.0,0.0
Matt Roy,WSH,CBJ,F,NA,0.0,0.0,0.0,0.0,0.0
Jakob Chychrun,WSH,CBJ,F,NA,0.0,0.0,0.0,0.0,0.0
Pierre-Luc Dubois,WSH,CBJ,F,NA,0.0,0.0,0.0,0.0,0.0
Brandon Duhaime,WSH,CBJ,F,NA,0.0,0.0,0.0,0.0,0.0
Martin Fehérváry,WSH,CBJ,F,NA,0.0,0.0,0.0,0.0,0.0
Rasmus Sandin,WSH,CBJ,F,NA,0.0,0.0,0.0,0.0,0.0
Declan Chisholm,WSH,CBJ,F,NA,0.0,0.0,0.0,0.0,0.0
Connor McMichael,WSH,CBJ,F,NA,0.0,0.0,0.0,0.0,0.0
Aliaksei Protas,WSH,CBJ,F,NA,0.0,0.0,0.0,0.0,0.0
Justin Sourdif,WSH,CBJ,F,NA,0.0,0.0,0.0,0.0,0.0
Hendrix Lapierre,WSH,CBJ,F,NA,0.0,0.0,0.0,0.0,0.0
Ethen Frank,WSH,CBJ,F,NA,0.0,0.0,0.0,0.0,0.0
Ryan Leonard,WSH,CBJ,F,NA,0.0,0.0,0.0,0.0,0.0
Brendan Smith,CBJ,WSH,F,NA,0.0,0.0,0.0,0.0,0.0
Charlie Coyle,CBJ,WSH,F,NA,0.0,0.0,0.0,0.0,0.0
Erik Gudbranson,CBJ,WSH,F,NA,0.0,0.0,0.0,0.0,0.0
Boone Jenner,CBJ,WSH,F,NA,0.0,0.0,0.0,0.0,0.0
Brendan Gaunce,CBJ,WSH,F,NA,0.0,0.0,0.0,0.0,0.0
Damon Severson,CBJ,WSH,F,NA,0.0,0.0,0.0,0.0,0.0
Miles Wood,CBJ,WSH,F,NA,0.0,0.0,0.0,0.0,0.0
Sean Monahan,CBJ,WSH,F,NA,0.0,0.0,0.0,0.0,0.0
Dysin Mayo,CBJ,WSH,F,NA,0.0,0.0,0.0,0.0,0.0
Zach Werenski,CBJ,WSH,F,NA,0.0,0.0,0.0,0.0,0.0
Ivan Provorov,CBJ,WSH,F,NA,0.0,0.0,0.0,0.0,0.0
Dante Fabbro,CBJ,WSH,F,NA,0.0,0.0,0.0,0.0,0.0
Mathieu Olivier,CBJ,WSH,F,NA,0.0,0.0,0.0,0.0,0.0
Zach Aston-Reese,CBJ,WSH,F,NA,0.0,0.0,0.0,0.0,0.0
Isac Lundestrom,CBJ,WSH,F,NA,0.0,0.0,0.0,0.0,0.0
Kirill Marchenko,CBJ,WSH,F,NA,0.0,0.0,0.0,0.0,0.0
Jake Christiansen,CBJ,WSH,F,NA,0.0,0.0,0.0,0.0,0.0
Dmitri Voronkov,CBJ,WSH,F,NA,0.0,0.0,0.0,0.0,0.0
Yegor Chinakhov,CBJ,WSH,F,NA,0.0,0.0,0.0,0.0,0.0
Kent Johnson,CBJ,WSH,F,NA,0.0,0.0,0.0,0.0,0.0
Cole Sillinger,CBJ,WSH,F,NA,0.0,0.0,0.0,0.0,0.0
Luca Del Bel Belluz,CBJ,WSH,F,NA,0.0,0.0,0.0,0.0,0.0
Denton Mateychuk,CBJ,WSH,F,NA,0.0,0.0,0.0,0.0,0.0
Adam Fantilli,CBJ,WSH,F,NA,0.0,0.0,0.0,0.0,0.0
Luca Pinelli,CBJ,WSH,F,NA,0.0,0.0,0.0,0.0,0.0
Alex Killorn,ANA,CHI,F,NA,0.0,0.0,0.0,0.0,0.0
Chris Kreider,ANA,CHI,F,NA,0.0,0.0,0.0,0.0,0.0
Radko Gudas,ANA,CHI,F,NA,0.0,0.0,0.0,0.0,0.0
Mikael Granlund,ANA,CHI,F,NA,0.0,0.0,0.0,0.0,0.0
Ryan Strome,ANA,CHI,F,NA,0.0,0.0,0.0,0.0,0.0
Jacob Trouba,ANA,CHI,F,NA,0.0,0.0,0.0,0.0,0.0
Ross Johnston,ANA,CHI,F,NA,0.0,0.0,0.0,0.0,0.0
Frank Vatrano,ANA,CHI,F,NA,0.0,0.0,0.0,0.0,0.0
Jansen Harkins,ANA,CHI,F,NA,0.0,0.0,0.0,0.0,0.0
Troy Terry,ANA,CHI,F,NA,0.0,0.0,0.0,0.0,0.0
Ryan Poehling,ANA,CHI,F,NA,0.0,0.0,0.0,0.0,0.0
Drew Helleson,ANA,CHI,F,NA,0.0,0.0,0.0,0.0,0.0
Jackson LaCombe,ANA,CHI,F,NA,0.0,0.0,0.0,0.0,0.0
Nikita Nesterenko,ANA,CHI,F,NA,0.0,0.0,0.0,0.0,0.0
Sam Colangelo,ANA,CHI,F,NA,0.0,0.0,0.0,0.0,0.0
Ian Moore,ANA,CHI,F,NA,0.0,0.0,0.0,0.0,0.0
Mason McTavish,ANA,CHI,F,NA,0.0,0.0,0.0,0.0,0.0
Olen Zellweger,ANA,CHI,F,NA,0.0,0.0,0.0,0.0,0.0
Cutter Gauthier,ANA,CHI,F,NA,0.0,0.0,0.0,0.0,0.0
Pavel Mintyukov,ANA,CHI,F,NA,0.0,0.0,0.0,0.0,0.0
Leo Carlsson,ANA,CHI,F,NA,0.0,0.0,0.0,0.0,0.0
Beckett Sennecke,ANA,CHI,F,NA,0.0,0.0,0.0,0.0,0.0
Nick Foligno,CHI,ANA,F,NA,0.0,0.0,0.0,0.0,0.0
Connor Murphy,CHI,ANA,F,NA,0.0,0.0,0.0,0.0,0.0
Teuvo Teravainen,CHI,ANA,F,NA,0.0,0.0,0.0,0.0,0.0
Matt Grzelcyk,CHI,ANA,F,NA,0.0,0.0,0.0,0.0,0.0
Andre Burakovsky,CHI,ANA,F,NA,0.0,0.0,0.0,0.0,0.0
Jason Dickinson,CHI,ANA,F,NA,0.0,0.0,0.0,0.0,0.0
Tyler Bertuzzi,CHI,ANA,F,NA,0.0,0.0,0.0,0.0,0.0
