PlayerRaw,NormName,SV_season,SV_recent,SV_last
Frank Vatrano,FRANK VATRANO,0.9,0.9,0.9014
Noah Hanifin,NOAH HANIFIN,0.8784000000000001,0.8784000000000001,0.883
Rasmus Andersson,RASMUS ANDERSSON,0.903,0.903,0.8769
Kyle Connor,KYLE CONNOR,0.8795999999999999,0.8795999999999999,0.9048
Jonas Siegenthaler,JONAS SIEGENTHALER,0.9059999999999999,0.9059999999999999,0.9248000000000001
Pavel Zacha,PAVEL ZACHA,0.8884000000000001,0.8884000000000001,0.8742
Connor McDavid,CONNOR MCDAVID,0.8571,0.8571,0.8768
Jack Eichel,JACK EICHEL,0.8661,0.8661,0.8924
Vince Dunn,VINCE DUNN,0.8931999999999999,0.8931999999999999,0.8779
Jordan Greenway,JORDAN GREENWAY,0.9052,0.9052,0.8626999999999999
Timo Meier,TIMO MEIER,0.8805,0.8805,0.9157
Erik Cernak,ERIK CERNAK,0.8756,0.8756,0.9135
Mikko Rantanen,MIKKO RANTANEN,0.8979,0.8979,0.8835999999999999
A.J. Greer,A J GREER,0.9029,0.9029,0.9323
Jansen Harkins,JANSEN HARKINS,0.9,0.9,0.8996999999999999
Sebastian Aho,SEBASTIAN AHO,0.8689,0.8689,0.866
Keegan Kolesar,KEEGAN KOLESAR,0.8793000000000001,0.8793000000000001,0.8985
Tommy Novak,TOMMY NOVAK,0.903,0.903,0.894
Travis Konecny,TRAVIS KONECNY,0.9068999999999999,0.9068999999999999,0.8615999999999999
Dylan Strome,DYLAN STROME,0.9205,0.9205,0.8945000000000001
Brandon Carlo,BRANDON CARLO,0.8873000000000001,0.8873000000000001,0.8904000000000001
Brock Boeser,BROCK BOESER,0.8704000000000001,0.8704000000000001,0.8686
Mathew Barzal,MATHEW BARZAL,0.9091,0.9091,0.9052
Roope Hintz,ROOPE HINTZ,0.8883,0.8883,0.9094
Parker Wotherspoon,PARKER WOTHERSPOON,0.9247,0.9247,0.902
Caleb Jones,CALEB JONES,0.9333,0.9333,0.9231
Noah Juulsen,NOAH JUULSEN,0.8908,0.8908,0.8812000000000001
Jack Roslovic,JACK ROSLOVIC,0.8902,0.8902,0.8687
Zach Werenski,ZACH WERENSKI,0.914,0.914,0.895
Nicolas Roy,NICOLAS ROY,0.9091,0.9091,0.8886
Anthony Beauvillier,ANTHONY BEAUVILLIER,0.9045000000000001,0.9045000000000001,0.9096
Jeremy Lauzon,JEREMY LAUZON,0.87,0.87,0.9129
Thomas Chabot,THOMAS CHABOT,0.88,0.88,0.9103
Mathieu Joseph,MATHIEU JOSEPH,0.8889,0.8889,0.8968
Lawson Crouse,LAWSON CROUSE,0.9126000000000001,0.9126000000000001,0.9081
Kyle Capobianco,KYLE CAPOBIANCO,0.9153,0.9153,0.3333
Mitch Marner,MITCH MARNER,0.8778,0.8778,0.8894
Joel Eriksson Ek,JOEL ERIKSSON EK,0.9174,0.9174,0.9055
Jake DeBrusk,JAKE DEBRUSK,0.8864,0.8864,0.8689
Ivan Provorov,IVAN PROVOROV,0.8859,0.8859,0.8875
John Marino,JOHN MARINO,0.8775,0.8775,0.8787
Yakov Trenin,YAKOV TRENIN,0.9418000000000001,0.9418000000000001,0.9027
Anthony Cirelli,ANTHONY CIRELLI,0.9386,0.9386,0.894
Evan Rodrigues,EVAN RODRIGUES,0.8662000000000001,0.8662000000000001,0.8961
Artemi Panarin,ARTEMI PANARIN,0.8687999999999999,0.8687999999999999,0.8695999999999999
Noel Acciari,NOEL ACCIARI,0.8889,0.8889,0.8791
Kevin Stenlund,KEVIN STENLUND,0.8925,0.8925,0.8815999999999999
Will Borgen,WILL BORGEN,0.9329999999999999,0.9329999999999999,0.8881
Colton White,COLTON WHITE,0.95,0.95,
Alexandre Carrier,ALEXANDRE CARRIER,0.8565999999999999,0.8565999999999999,0.8820999999999999
Ryan Shea,RYAN SHEA,0.9070999999999999,0.9070999999999999,0.8937999999999999
Conor Garland,CONOR GARLAND,0.8937,0.8937,0.885
Niko Mikkola,NIKO MIKKOLA,0.8946999999999999,0.8946999999999999,0.8919
Kirill Kaprizov,KIRILL KAPRIZOV,0.8972,0.8972,0.9043000000000001
Troy Terry,TROY TERRY,0.865,0.865,0.914
Adam Gaudette,ADAM GAUDETTE,0.8966,0.8966,0.9357
Vladislav Gavrikov,VLADISLAV GAVRIKOV,0.9268000000000001,0.9268000000000001,0.8939
Mason Appleton,MASON APPLETON,0.883,0.883,0.9312
Steven Lorentz,STEVEN LORENTZ,0.8776999999999999,0.8776999999999999,0.9167000000000001
Matt Roy,MATT ROY,0.912,0.912,0.903
Jalen Chatfield,JALEN CHATFIELD,0.892,0.892,0.909
Mason Marchment,MASON MARCHMENT,0.9429000000000001,0.9429000000000001,0.914
Rodrigo Abols,RODRIGO ABOLS,0.8845999999999999,0.8845999999999999,0.8434999999999999
Philippe Myers,PHILIPPE MYERS,0.8684000000000001,0.8684000000000001,0.9109999999999999
Ryan Lomberg,RYAN LOMBERG,0.95,0.95,0.9218999999999999
Kevin Rooney,KEVIN ROONEY,1.0,1.0,0.875
Brandon Tanev,BRANDON TANEV,0.8626999999999999,0.8626999999999999,0.8917
Luke Kunin,LUKE KUNIN,0.8879,0.8879,0.8896
Auston Matthews,AUSTON MATTHEWS,0.8873000000000001,0.8873000000000001,0.8809
Adam Fox,ADAM FOX,0.8831,0.8831,0.8711
Ryan Lindgren,RYAN LINDGREN,0.9023,0.9023,0.8984000000000001
Charlie McAvoy,CHARLIE MCAVOY,0.8802,0.8802,0.8802
Carl Grundstrom,CARL GRUNDSTROM,1.0,1.0,0.8704000000000001
Alex DeBrincat,ALEX DEBRINCAT,0.8622,0.8622,0.8891
Patrik Laine,PATRIK LAINE,0.84,0.84,0.8798999999999999
Clayton Keller,CLAYTON KELLER,0.8528,0.8528,0.8741
Jakob Chychrun,JAKOB CHYCHRUN,0.9153,0.9153,0.9014
Sam Steel,SAM STEEL,0.9211,0.9211,0.9004000000000001
Brett Howden,BRETT HOWDEN,0.8615,0.8615,0.8868
Beck Malenstyn,BECK MALENSTYN,0.8946999999999999,0.8946999999999999,0.8753
Riley Tufte,RILEY TUFTE,0.9444,0.9444,0.8695999999999999
Trent Frederic,TRENT FREDERIC,0.8959999999999999,0.8959999999999999,0.8936
Andrew Peeke,ANDREW PEEKE,0.8931999999999999,0.8931999999999999,0.8989
Tyson Jost,TYSON JOST,0.843,0.843,0.9181999999999999
